What gender do you identify as?,What is your race/ethnicity? (Check all that apply),What is your year at New College?,"What is your Area of Concentration? (If not yet declared, put ""Undeclared"")",Which math classes have you taken at New College? (Check all that apply),"Are you considering, or did you ever consider a concentration in Math?",Are you interested in graduate school (in any discipline)?,"""I find mathematics interesting""","""Mathematics leads to many possible career opportunities""","""With practice, it is easy for me to improve my skills in math""","""Men are generally better suited to mathematics than women""","""Many people believe that men are better suited to mathematics than women""","""Some racial/ethnic groups are generally better suited to mathematics than others""","""Many people believe that some racial/ethnic groups are better suited to mathematics than others""",... compared to your high school student population?,... compared to the student population at New College?,... compared to your social group?,... compared to other students of your gender?,... compared to other students of your racial/ethnic group?,"Imagine the following scenario: in the first few weeks of a math class, you have had difficulty understanding the material and completing some of the assignments. How likely are you to drop the class?",Have you ever dropped or stopped attending a math class because you believed you were not going to do well?,"Compared to other subjects, do you feel more or less anxiety in mathematics classes?",How often are you concerned that your performance in math will confirm a negative stereotype about you?,Think about a typical math course you have taken at New College or imagine taking one. Did/do you feel comfortable or out of place?,Have you ever felt that you were perceived or treated differently in a math class due to your gender? ,Have you ever felt that you were perceived or treated differently in a math class due to your race or ethnicity? ,Are there any comments or thoughts you would like to add?
Non-Binary,White,Third Year,Sociology and Gender Studies,Additional math courses not listed,No,Yes,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Above average,Average,Average,Neutral,No,A little more anxiety,Rarely,Somewhat comfortable,No,No,
Female,White,Fourth Year,Computer Science,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra",Yes,Yes,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Well above average,Above average,Well above average,Average,Average,Very unlikely,No,A little more anxiety,Often,Somewhat comfortable,"Yes, at New College and possibly elsewhere",No,
Male,White,Fourth Year,Mathematics,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Maybe,Agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Well above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,Much more anxiety,Sometimes,Somewhat comfortable,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",
Male,White,Third Year,Social Sciences,"Calc I, Calc II, Linear Algebra",Yes,Yes,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Well above average,Above average,Above average,Above average,Above average,Very likely,Yes,About the same,Never,Somewhat comfortable,No,No,
nonbinary,White,Second Year,computer science,Discrete Math,No,Maybe,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Above average,Average,Below average,Very unlikely,No,Much more anxiety,Rarely,Somewhat out of place,No,No,
Female,Asian,Second Year,Psychology and Political Science,Calc I,Yes,Yes,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Well above average,Above average,Average,Somewhat unlikely,No,About the same,Rarely,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College",
Female,"Hispanic or Latino, White",First Year,Physics,Calc II,No,Yes,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Well above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,About the same,Never,Very comfortable,No,No,
Male,Black or African American,First Year,BioChemistry ??? Maybe,Calc I,No,Yes,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Average,Average,Average,Average,Above average,Somewhat unlikely,No,A little more anxiety,Never,Neutral,No,No,$$$ ;)
Female,White,Fourth Year,Art,No math courses at New College,No,Maybe,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Average,Well below average,Below average,Below average,Below average,Somewhat likely,No,Much more anxiety,Sometimes,Somewhat out of place,No,No,
Male,Hispanic or Latino,Second Year,Undeclared,"Mathematics for the sciences, Calc I",No,Yes,Agree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Above average,Average,Average,Above average,Neutral,No,A little more anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College","In my opinion, there is a bit of disparity in the STEM field when it comes to diversity. I know places like NYU have pushed programs like ""Women in STEM"" which is geared towards having high retention rates for women is STEM majors.  I feel like New College is a great liberal arts college with a focus on research. We, as a school in general, need to outreach to a more diverse population (ESPECIALLY when it comes to Math and NatSci AOCs)."
Male,"Hispanic or Latino, White",Second Year,Biology,"Mathematics for the sciences, Calc I",No,Yes,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Agree,Average,Average,Well above average,Below average,Below average,Very unlikely,No,A little more anxiety,Rarely,Somewhat comfortable,No,"Yes, but not at New College",
Female,White,First Year,History,No math courses at New College,No,Maybe,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Below average,Average,Below average,Below average,Neutral,Yes,Much more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College",No,
Female,White,First Year,Applied Math and Political Science,Additional math courses not listed,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Well above average,Above average,Above average,Above average,Very unlikely,No,Much less anxiety,Never,Very comfortable,"Yes, but not at New College",No,
Female,White,Fourth Year,Economics/Applied Math,"Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Well above average,Above average,Well above average,Well above average,Above average,Somewhat likely,Yes,Much more anxiety,Never,Somewhat out of place,No,No,
Female,White,Fourth Year,History/Medieval & Renaissance Studies,No math courses at New College,No,Yes,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Well below average,Average,Average,Somewhat likely,No,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Female,Asian,Fourth Year,Marine Biology,"Calc I, Calc II",No,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Well above average,Average,Below average,Somewhat unlikely,No,A little less anxiety,Never,Somewhat comfortable,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",
Female,White,Third Year,Music,Discrete Math,No,Yes,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Above average,Below average,Well below average,Average,Average,Very likely,Yes,A little more anxiety,Sometimes,Neutral,"Yes, but not at New College",No,
genderfluid,"Hispanic or Latino, White",First Year,undelcared,No math courses at New College,No,Maybe,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Average,Above average,Average,Above average,Somewhat likely,No,A little more anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College",No,
Male,White,Second Year,Math,"Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Well above average,Average,Above average,Below average,Below average,Very unlikely,No,Much more anxiety,Often,Somewhat out of place,No,No,
Female,Hispanic or Latino,First Year,biochemistry ,Mathematics for the sciences,No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Average,Average,Well above average,Average,Above average,Very unlikely,No,About the same,Sometimes,Very comfortable,"Yes, but not at New College",No,
Female,White,Third Year,Computer Science,"Discrete Math, Linear Algebra, Additional math courses not listed",No,Maybe,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Above average,Well above average,Well above average,Well above average,Very likely,Yes,Much more anxiety,Never,Very out of place,No,No,
genderfluid,White,First Year,Undeclared (but anticipating Theatre),No math courses at New College,Yes,Yes,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Rarely,Somewhat out of place,No,No,
Male,Black or African American,Fifth or more,Natural Sciences,"Calc I, Calc II, Additional math courses not listed",No,Yes,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Above average,Above average,Well above average,Above average,Average,Neutral,No,About the same,Often,Very comfortable,No,"Yes, at New College and possibly elsewhere",
Female,White,Second Year,Undeclared,Additional math courses not listed,Yes,Maybe,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Well above average,Above average,Above average,Above average,Above average,Very unlikely,No,A little more anxiety,Sometimes,Somewhat out of place,"Yes, at New College and possibly elsewhere",No,"Thank you for beginning to address disparities in the math department. I think that the department could be strengthened immensely with more work at helping non male, non white students feel comfortable. "
Male,White,First Year,Undeclared,No math courses at New College,No,Yes,Agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Well above average,Above average,Above average,Well below average,Well below average,Very unlikely,No,About the same,Never,Very comfortable,No,No,
Male,White,Second Year,Computer Science ,Discrete Math,No,Yes,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Average,Average,Above average,Average,Average,Very unlikely,No,Much more anxiety,Never,Somewhat comfortable,No,No,
Male,White,First Year,Poli Sci,No math courses at New College,No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well below average,Below average,Average,Below average,Below average,Very unlikely,No,A little more anxiety,Rarely,Somewhat comfortable,No,No,
Male,White,Third Year,Political Science/ Finance / Data Science,Additional math courses not listed,No,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Well above average,Above average,Above average,Very unlikely,No,About the same,Never,Very comfortable,No,No,
transman,White,Third Year,BioPsychology,No math courses at New College,No,Maybe,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Average,Average,Average,Somewhat unlikely,No,A little more anxiety,Never,Somewhat out of place,"Yes, but not at New College",No,
Male,Hispanic or Latino,First Year,Political Science,No math courses at New College,Yes,Yes,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Average,Average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,No,No,
Female,White,First Year,Philosophy,No math courses at New College,No,Yes,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Well below average,Below average,Below average,Below average,Somewhat unlikely,No,Much more anxiety,Never,Neutral,No,No,
Female,White,Fourth Year,Natural Sciences,"Calc I, Calc II",No,Yes,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Average,Average,Average,Average,Average,Somewhat likely,Yes,Much more anxiety,Sometimes,Somewhat comfortable,"Yes, at New College and possibly elsewhere",No,
Female,White,Third Year,Psychology,"Mathematics for the sciences, Calc I, Additional math courses not listed",No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Below average,Above average,Below average,Average,Very unlikely,No,A little more anxiety,Sometimes,Somewhat comfortable,"Yes, at New College and possibly elsewhere",No,
Female,White,Fourth Year,Philosophy ,No math courses at New College,No,Yes,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Above average,Below average,Below average,Somewhat likely,No,Much more anxiety,Often,Very out of place,"Yes, but not at New College",No,
Female,White,First Year,Math,Calc I,Yes,Maybe,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Above average,Well above average,Well above average,Well above average,Somewhat unlikely,No,A little less anxiety,Rarely,Very comfortable,No,No,
 I don't know,Asian,Third Year,Computer Science/Physics,"Calc I, Discrete Math, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Well above average,Above average,Above average,Average,Average,Very unlikely,No,A little less anxiety,Often,Somewhat comfortable,No,"Yes, at New College and possibly elsewhere",
Male,White,Fifth or more,Economics,"Calc I, Linear Algebra",No,Yes,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree,Well above average,Above average,Below average,Above average,Above average,Neutral,No,Much more anxiety,Never,Somewhat out of place,No,No,
Female,White,First Year,Comparative Psychology,No math courses at New College,No,Yes,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Well above average,Well above average,Well above average,Neutral,No,About the same,Rarely,Somewhat comfortable,No,No,I'm good at math; I just don't like it.
Female,"Black or African American, Hispanic or Latino, Multi-Racial",Third Year,Environmental Studies/ Economics,No math courses at New College,Yes,Yes,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Average,Above average,Above average,Above average,Somewhat likely,No,About the same,Rarely,Very out of place,"Yes, but not at New College","Yes, but not at New College","I believe that NCF's math department is too theoretical. I had orginally come to college thinking I'd be an Applied Math AOC. My decision to switch had nothing really to do with the math department however. What I did notice though was that there weren't too many courses dedicated to real life application of math concepts. Additionally, and this goes for NCF as a whole, there needs to be gender and racial/ethnic diversity reflected amongst students, faculty, admin. and staff in order to truly be diverse. "
Non-binary,White,Second Year,Undeclared,No math courses at New College,No,Yes,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Average,Average,Average,Very likely,No,Much more anxiety,Never,Somewhat out of place,No,No,
Female,White,Third Year,Physics,"Mathematics for the sciences, Calc I, Calc II, Calc III, Linear Algebra",No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Well below average,Average,Average,Very likely,Yes,Much more anxiety,Often,Neutral,"Yes, at New College and possibly elsewhere",No,
Male,Hispanic or Latino,Fourth Year,Econ/Math,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Well above average,Above average,Average,Above average,Above average,Neutral,Yes,About the same,Never,Neutral,No,No,
Nonbinary,White,First Year,Psychology and Gender Studies,No math courses at New College,Yes,Yes,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Below average,Below average,Below average,Somewhat unlikely,No,A little more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College",No,
Male,"Hispanic or Latino, White",Second Year,Undeclared,Mathematics for the sciences,No,Yes,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Average,Below average,Average,Below average,Average,Somewhat likely,Yes,A little more anxiety,Never,Neutral,No,No,
Female,White,First Year,Neurobiology ,Calc I,No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Average,Somewhat unlikely,Yes,Much more anxiety,Sometimes,Very out of place,"Yes, at New College and possibly elsewhere",No,"As a student who needs academic accommodations, I feel that I have absolutely been treated differently in math classes across the board... in my experience, math teachers in general are more grudging to accommodate disabled students' needs in ways that teachers of other disciplines are more willing to do. (E.g.: you don't need to use a calculator, you should be able to do fast mental math just like everyone else)"
Female,"Asian, White",Third Year,Chemistry,"Calc I, Calc II, Calc III",No,Yes,Neutral,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Below average,Somewhat likely,No,Much more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College","Yes, but not at New College","With the stereotype question, you only address negative stereotypes. I'd also like to note that there is the phenomenon of ""not confirming positive stereotypes"" that can affect people as well, especially with groups as stereotyped as Asians are (i.e. the ""Model Minority"" stereotype). I have experienced, and read sociology papers that address the experience, of Asian American students feeling pressured to be better at math due to their race. There is also the experience of being worried that you're a ""bad Asian"" because you're ""bad at math""."
Male,Black or African American,Fourth Year,Economics,Mathematics for the sciences,No,Yes,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Above average,Above average,Above average,Average,Well below average,Neutral,Yes,Much more anxiety,Sometimes,Somewhat out of place,No,"Yes, but not at New College",
Male,Asian,Second Year,Computer Science,Discrete Math,No,No,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Above average,Average,Above average,Average,Well below average,Neutral,No,A little more anxiety,Often,Somewhat out of place,No,"Yes, at New College and possibly elsewhere",
Female,White,First Year,Undeclared,Calc I,No,Yes,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Above average,Average,Above average,Average,Average,Very unlikely,No,A little more anxiety,Never,Somewhat comfortable,No,No,
Male,"Asian, White",Third Year,Psychology,Additional math courses not listed,No,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Above average,Average,Average,Above average,Above average,Somewhat likely,No,A little more anxiety,Never,Neutral,"Yes, but not at New College",No,
Female,Black or African American,Fourth Year,Publication Studies (Special AOC) ,Additional math courses not listed,No,Yes,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Above average,Average,Average,Below average,Above average,Somewhat likely,Yes,A little more anxiety,Rarely,Somewhat out of place,"Yes, but not at New College","Yes, at New College and possibly elsewhere",
Male,White,Second Year,International & Area Studies,No math courses at New College,No,Yes,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Above average,Average,Average,Above average,Neutral,No,A little less anxiety,Rarely,Somewhat comfortable,No,No,Thanks for this survey! It’s important to address issues of diversity in specific fields. 
Female,Black or African American,Second Year,Undeclared ,"Calc I, Calc II",No,Yes,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Above average,Above average,Average,Above average,Above average,Very unlikely,No,A little less anxiety,Sometimes,Somewhat comfortable,No,No,
Female,White,Fourth Year,Biopsychology,"Calc I, Additional math courses not listed",No,Yes,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Average,Average,Above average,Average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,"Yes, but not at New College",No,
Female,"Hispanic or Latino, White",Second Year,Marine Bio,"Mathematics for the sciences, Calc I",No,Yes,Neutral,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Average,Below average,Below average,Below average,Average,Somewhat unlikely,Yes,A little more anxiety,Often,Somewhat out of place,No,No,
Male,White,Second Year,Art/Math,"Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Well above average,Above average,Above average,Above average,Above average,Very unlikely,No,A little more anxiety,Never,Somewhat comfortable,No,No,
Female,White,Second Year,Philosophy ,No math courses at New College,Yes,Maybe,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Well below average,Average,Average,Below average,Somewhat unlikely,Yes,A little more anxiety,Often,Somewhat out of place,No,No,
Non-binary,White,Second Year,Undeclared,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Above average,Well above average,Above average,Above average,Somewhat unlikely,No,A little less anxiety,Sometimes,Very comfortable,"Yes, but not at New College",No,
Female,White,Third Year,Biology,"Calc I, Calc II",No,Yes,Disagree,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Average,Average,Average,Average,Average,Very unlikely,No,A little more anxiety,Rarely,Neutral,No,No,
Female,White,Second Year,Econ,Mathematics for the sciences,No,Yes,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Average,Average,Average,Somewhat unlikely,No,A little more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College","Yes, at New College and possibly elsewhere",
Agender,White,Second Year,Undeclared,Mathematics for the sciences,No,Yes,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Below average,Below average,Average,Below average,Below average,Somewhat unlikely,No,Much more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College",No,
Female,"Black or African American, Hispanic or Latino",First Year,IAS and Sociology,No math courses at New College,No,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Average,Above average,Above average,Above average,Neutral,No,About the same,Sometimes,Somewhat out of place,No,"Yes, but not at New College",
Female,White,Third Year,Chemistry ,"Calc I, Calc II, Linear Algebra",Yes,Yes,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Above average,Average,Above average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Somewhat out of place,"Yes, at New College and possibly elsewhere",No,I find that a lot of students who identify as male are more likely to speak out and answer questions than other students in class. I feel more time should be given and hands should be raised so that all students get a chance to process the question and answer it. 
Female,White,Second Year,Studio Art,No math courses at New College,No,No,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Above average,Below average,Above average,Average,Average,Somewhat unlikely,No,Much more anxiety,Never,Somewhat out of place,No,No,
Male,White,Fourth Year,Chemistry,"Calc I, Calc II, Calc III",No,Yes,Agree,Neutral,Agree,Disagree,Agree,Disagree,Strongly agree,Well above average,Above average,Above average,Above average,Above average,Somewhat unlikely,Yes,A little less anxiety,Never,Very comfortable,No,No,
Female,White,Fourth Year,Neurobiology,"Calc I, Calc II",No,Yes,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Average,Average,Average,Somewhat unlikely,Yes,Much more anxiety,Often,Neutral,"Yes, but not at New College",No,
Female,White,Third Year,Biopsychology ,Additional math courses not listed,No,Yes,Neutral,Strongly agree,Agree,Neutral,Disagree,Neutral,Disagree,Well above average,Average,Above average,Average,Average,Very unlikely,No,Much more anxiety,Never,Somewhat out of place,No,No,
Male,White,First Year,biopsych,No math courses at New College,No,Yes,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Above average,Average,Average,Somewhat unlikely,No,About the same,Never,Somewhat comfortable,No,No,
Male,White,First Year,Undeclared,Calc I,Yes,Yes,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Well above average,Average,Average,Average,Average,Somewhat unlikely,No,A little less anxiety,Never,Somewhat comfortable,No,No,
Female,Asian,Third Year,Computer Science,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Maybe,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Well above average,Above average,Above average,Above average,Average,Somewhat unlikely,No,About the same,Rarely,Somewhat comfortable,No,No,
Female,White,Fourth Year,Special AOC,No math courses at New College,No,Yes,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Below average,Well below average,Average,Below average,Below average,Very likely,Yes,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Male,White,Second Year,Undeclared,Calc I,No,Maybe,Agree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Average,Well below average,Below average,Average,Average,Somewhat unlikely,No,A little more anxiety,Never,Neutral,No,No,
Male,Black or African American,Fourth Year,Applied Math & Economics,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Well above average,Well above average,Well above average,Above average,Well above average,Very unlikely,No,About the same,Often,Somewhat out of place,No,"Yes, at New College and possibly elsewhere",
Male,White,First Year,English/Film,No math courses at New College,No,Yes,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Average,Average,Below average,Average,Average,Somewhat unlikely,No,A little more anxiety,Sometimes,Somewhat comfortable,No,No,
Female,Black or African American,Second Year,Chemistry/Sociology,"Calc I, Calc II, Calc III",Yes,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Average,Above average,Above average,Somewhat unlikely,No,About the same,Sometimes,Neutral,"Yes, but not at New College","Yes, but not at New College",
Male,Black or African American,First Year,Philosophy/Economics,No math courses at New College,No,Yes,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Above average,Average,Above average,Above average,Well above average,Somewhat unlikely,No,A little more anxiety,Sometimes,Somewhat out of place,No,No,
